PRIMARY,DETAILED,DESCRIPTION,Name w/out 'Primary',Alternate names,Would we group?,PLAIDEGORY,DiffsNewTaxonomy2022Category,PLAIDEGORY 2.0,Cleo_Default,Ideas Olly,Ideas Giulia,Best Cleo Default category [WIP],,,,,,,,,,,,,,,
BANK_FEES,BANK_FEES_OVERDRAFT_FEES,Fees incurred when an account is in overdraft,overdraft fees,,,Bank fees,Repayments & Bank Charges,Bank fees,Bank Charges,,,Bank Charges,,,,,,,,,,,,,,,
BANK_FEES,BANK_FEES_OTHER_BANK_FEES,Other miscellaneous bank fees,bank fees,,,Bank fees,Repayments & Bank Charges,Bank fees,Bank Charges,,,Bank Charges,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING,"Gambling, casinos, and sports betting",casinos and gambling,gambling,"just one opinion but i don't think we should group entertainment. each of these could pave the way for really valuable, targeted convos - especially since a good portion of our users participate in gambling/lottery (based on info from a hype survey from a while back)",Gambling,Entertainment,Gambling,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_MUSIC_AND_AUDIO,"Digital and in-person music purchases, including music streaming services",music and audio,music,,Music,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,"Purchases made at sporting events, music venues, concerts, museums, and amusement parks",sporting events amusement parks and museums,,"Could we group this within the ""other"" category?",Other entertainment,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES,In home movie streaming services and movie theaters,tv and movies,,,Tv and movies,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_VIDEO_GAMES,Digital and in-person video game purchases,video games,,,Video games,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
ENTERTAINMENT,ENTERTAINMENT_OTHER_ENTERTAINMENT,"Other miscellaneous entertainment purchases, including night life and adult entertainment",other entertainment,,,Other entertainment,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,"Beer, Wine & Liquor Stores","beer, wine and liquor",alcohol,,Alcohol,"Take-out, Snacks & Refreshments",Alcohol,Eating Out,Note: bars and pubs should go there,,Eating out,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,Purchases at coffee shops or cafes,coffee,,,Coffee,"Take-out, Snacks & Refreshments",Coffee,Eating Out,,,Eating out,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD,Dining expenses for fast food chains,fast food,,,Fast food,Dining & Going Out,Fast food,Eating Out,,,Eating out,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_GROCERIES,"Purchases for fresh produce and groceries, including farmers' markets",groceries,,,Groceries,Groceries & Household,Groceries,Groceries,,,Groceries,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_RESTAURANT,"Dining expenses for restaurants, bars, gastropubs, and diners",restaurants,eating out,,Eating out,Dining & Going Out,Eating out,Eating Out,,,Eating out,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_VENDING_MACHINES,Purchases made at vending machine operators,vending machines,,"Could we group this with the ""fast food"" category? Or ""other""?",Fast food,"Take-out, Snacks & Refreshments",Fast food,Eating Out,,,Eating out,,,,,,,,,,,,,,,
FOOD_AND_DRINK,FOOD_AND_DRINK_OTHER_FOOD_AND_DRINK,"Other miscellaneous food and drink, including desserts, juice bars, and delis",other food and drink,,Could we group this in restaurants/eating out?,Eating out,"Take-out, Snacks & Refreshments",Eating out,Eating Out,,,Eating out,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,"Books, magazines, and news ",,,"lines 45-58, excluding 46 and 53: group everything as miscellaneous shopping",Miscellaneous shopping,Entertainment,Entertainment,Entertainment,,,Entertainment,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,"Apparel, shoes, and jewelry",,clothes shopping,,Clothes shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_CONVENIENCE_STORES,Purchases at convenience stores,,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DEPARTMENT_STORES,"Retail stores with wide ranges of consumer goods, typically specializing in clothing and home goods",,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_DISCOUNT_STORES,Stores selling goods at a discounted price,,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_ELECTRONICS,Electronics stores and websites,,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES,"Photo, gifts, cards, and floral stores",,,,Miscellaneous shopping,Shopping,Shopping,Shopping,,,Shopping,,,,,,,,,,,,,,,
